Gal,System,Pos,Planeta / Nazwa (Aktywność),Księżyc,PZ,Status,Gracz,Sojusz,Akcja,Pozycja,PlayerId,PlanetId,Komentarz covidu,,
,,,5739 planet / 9 opuszczonych,230 moonów,,,zielony = idler,1813 idlerów,,,,, by matej & polkin3run & rabus,,
,,,,,,,,,,,,,,,
1,8,15,,,,,,,,0,0,0,,120,100815
1,8,2,,,,,,,,0,0,0,,107,100802
1,8,3,,,,,,,,0,0,0,,108,100803
1,8,4,,,,,,,,0,0,0,,109,100804
1,8,5,,,,,,,,0,0,0,,110,100805
1,8,6,Main Planet,,,i,Voy,-,Szpieguj,1919,2701,5340,,111,100806
1,8,7,Tajna wytwórnia fety,,,,Roszp,CO5G,Szpieguj,428,1015,3761,,112,100807
1,8,8,Planeta macierzysta,,,i,WladcaSlimakow,-,Szpieguj,1922,11,10,,113,100808
1,8,9,prosze farmic (29 min),,,,MG78,DWA,Szpieguj,580,6,4414,,114,100809
1,9,1,,,,,,,,0,0,0,,121,100901
1,9,10,,,,,,,,0,0,0,,130,100910
1,9,11,,,,,,,,0,0,0,,131,100911
1,9,12,,,,,,,,0,0,0,,132,100912
1,9,13,,,,,,,,0,0,0,,133,100913
1,9,14,,,,,,,,0,0,0,,134,100914
1,9,15,,,,,,,,0,0,0,,135,100915
1,9,2,1. Scorpia (34 min),,,,Earsh,-,Szpieguj,53,12,5037,,122,100902
1,9,3,,,,,,,,0,0,0,,123,100903
1,9,4,,,,,,,,0,0,0,,124,100904
1,9,5,1. Caprica (35 min),,,,Earsh,-,Szpieguj,53,12,11,,125,100905
1,9,6,TylkoWoda (*),,,,xHipolit,MnS,Szpieguj,49,1016,5479,,126,100906
1,9,7,StachurskyDosko (37 min),,,,xHipolit,MnS,Szpieguj,49,1016,3832,,127,100907
1,9,8,1. Sagitara (47 min),,,,Earsh,-,Szpieguj,53,12,2533,,128,100908
1,9,9,KrakoskiGrod (52 min),,,,xHipolit,MnS,Szpieguj,49,1016,1015,,129,100909
1,10,1,,,,,,,,0,0,0,,136,101001
1,10,10,Kolonia (44 min),,,i,BuryBot,-,Szpieguj,1091,13,3506,,145,101010
1,10,11,,,,,,,,0,0,0,,146,101011
1,10,12,,,,,,,,0,0,0,,147,101012
1,10,13,,,,,,,,0,0,0,,148,101013
1,10,14,,,,,,,,0,0,0,,149,101014
1,10,15,,,,,,,,0,0,0,,150,101015
1,10,2,,,,,,,,0,0,0,,137,101002
1,10,3,,,,,,,,0,0,0,,138,101003
1,10,4,Korelia,,,u,emenems,CO5G,Szpieguj,180,1915,1914,,139,101004
1,10,5,Słoneczna Riviera (55 min),,,i,BuryBot,-,Szpieguj,1091,13,12,,140,101005
1,10,6,Hoth,,,u,emenems,CO5G,Szpieguj,180,1915,3759,,141,101006
1,10,7,Dagobah,,,u,emenems,CO5G,Szpieguj,180,1915,4415,,142,101007
1,10,8,Coruscant,,,u,emenems,CO5G,Szpieguj,180,1915,2795,,143,101008
1,10,9,Atypowy (19 min),,,,ghost92,ZERO,Szpieguj,88,1017,2966,,144,101009
1,11,1,,,,,,,,0,0,0,,151,101101
1,11,10,Gugu (16 min),,,,ghost92,ZERO,Szpieguj,88,1017,1016,,160,101110
1,11,11,,,,,,,,0,0,0,,161,101111
1,11,12,,,,,,,,0,0,0,,162,101112
1,11,13,,,,,,,,0,0,0,,163,101113
1,11,14,,,,,,,,0,0,0,,164,101114
1,11,15,,,,,,,,0,0,0,,165,101115
1,11,2,,,,,,,,0,0,0,,152,101102
1,11,3,Planeta macierzysta,,,i,ciubix,-,Szpieguj,1869,1916,1915,,153,101103
1,11,4,,,,,,,,0,0,0,,154,101104
1,11,5,,,,,,,,0,0,0,,155,101105
1,11,6,,,,,,,,0,0,0,,156,101106
